Winery Name,lat,lon
Three Creeks Winery,39.108515,-77.651249
Three Fox Vineyards & Farm Brewery,38.91620915,-77.92591433
Two Twisted Posts Winery,39.259243,-77.721387
Village Winery,39.186557,-77.60243282
Vint Hill Craft Winery,38.742823,-77.675797
Walsh Family Wine,39.175161,-77.725851
Wild Hare Cider Cabin,39.1123784,-77.5631984
Wild Hare Cider Pub,38.7110806,-77.79503147
Wilderness Run Vineyards,38.3272111,-77.7190155
Williams Gap Vineyard,39.1489063,-77.78176518
Willowcroft Farm Vineyards,39.071419,-77.658264
Zephaniah Farm Vineyard,39.081814,-77.622678
