Region,Winery Name,Street Address,City,State,Phone,Website,,,,lat,lon
Central Virginia,Bryant's Cider,3224 E. Branch Loop,Roseland,VA,804-799-0401,bryantscider.com,,,,37.795345,-78.942788
Central Virginia,Burnley Vineyards,4500 Winery Ln.,Barboursville,VA,434-906-0173,burnleywines.com,,,,38.158454,-78.317095
Central Virginia,Buskey Cider,2910 W. Leigh St.,Richmond,VA,804-355-0100,buskeycider.com,,,,37.5660628,-77.4691869
Central Virginia,Byrd Cellars,2442 Davis Mill Rd.,Goochland,VA,804-652-5663,byrdcellars.com,,,,37.75835523,-78.0236482
Central Virginia,Caihailian Vineyard,872 Beech Grove Rd.,Roseland,VA,571-643-1692,chivineyard.com,,,,37.7476406,-78.9758579
Central Virginia,Cardinal Point Vineyard & Winery,9423 Batesville Rd.,Afton,VA,540-456-8400,cardinalpointwinery.com,,,,37.988609,-78.81385
Central Virginia,Castle Glen Winery,18185 Narrow Path Tr.,Doswell,VA,804-763-9677,castleglenwine.com,,,,37.905629,-77.533696
Central Virginia,Castle Hill Cider,6065 Turkey Sag Rd.,Keswick,VA,434-296-0047,castlehillcider.com,,,,38.0888483,-78.29090775
Central Virginia,Chateau MerrillAnne,16234 Marquis Rd.,Orange,VA,540-656-6177,chateaumerrillanne.com,,,,38.18260184645828,-77.97561477
Central Virginia,Chestnut Oak Vineyard,5050 Stony Point Rd.,Barboursville,VA,434-964-9104,chestnutoakvineyard.com,,,,38.141719,-78.328154
Central Virginia,Chisholm Vineyards at Adventure Farm,1135 Clan Chisholm Ln.,Earlysville,VA,434-971-8796,chisholmvineyards.com,,,,38.135079700000006,-78.46179019
Central Virginia,Chiswell Farm and Winery,430 Greenwood Rd.,Greenwood,VA,434-252-2947,chiswellwinery.com,,,,38.044651,-78.772669
Central Virginia,Courthouse Creek Cidery,1581 Maidens Rd.,Maidens,VA,804-543-3157,courthousecreek.com,,,,37.672311,-77.8760931
Central Virginia,Coyote Hole Craft Beverages,225 Oak Grove Dr.,Mineral,VA,540-894-1053,coyotehole.com,,,,38.085614,-77.854053
Central Virginia,Cunningham Creek Winery,3304 Ruritan Lake Rd.,Palmyra,VA,434-207-3907,cunninghamcreek.wine,,,,37.875052,-78.356204
Central Virginia,DeVault Family Vineyards,247 Station Ln.,Concord,VA,434-993-0722,devaultvineyard.com,,,,37.3463761,-78.9712416
Central Virginia,DuCard Vineyards,40 Gibson Hollow Ln.,Etlan,VA,540-923-4206,ducardvineyards.com,,,,38.5255527,-78.2623775
Central Virginia,Eagle Zen Winery,954 Rosser Rd.,Dillwyn,VA,757-880-7006,eaglezenwinery.com,,,,37.629308,-78.548234
Central Virginia,Early Mountain Vineyards,6109 Wolftown Hood Rd.,Madison,VA,540-948-9005,earlymountain.com,,,,38.3519606,-78.31012753
Central Virginia,Eastwood Farm and Winery,2531 Scottsville Rd.,Charlottesville,VA,434-264-6727,eastwoodfarmandwinery.com,,,,37.9659,-78.517105
Central Virginia,Elk Island Winery,5759 River Road West,Goochland,VA,804-627-3929,elkislandwinery.com,,,,37.684151789786355,-77.88535853
Central Virginia,Everleigh Vineyards,9845 Jefferson Hwy.,Mineral,VA,804-464-5667,everleighvineyards.com,,,,37.919563800000006,-77.85739108
Central Virginia,Fallen Tree Winery,4593 Clark Rd.,Crozet,VA,757-647-9398,fallentreevineyard.com,,,,38.135844,-78.658913
Central Virginia,Fifty-Third Winery and Vineyard,13372 Shannon Hill Rd.,Louisa,VA,540-894-1536,53rdwinery.com,,,,37.961184,-77.929082
Central Virginia,Flying Fox Vineyard,10368 Critzer Shop Rd.,Afton,VA,434-361-1692,flyingfoxvineyard.com,,,,38.0323598,-78.839189
Central Virginia,Gabriele Rausse Winery,3247 Carters Mountain Rd.,Charlottesville,VA,434-981-1677,gabrieleraussewinery.com,,,,37.940955,-78.47728
Central Virginia,Garden Grove Brewing & Urban Winery,3445 W. Cary St.,Richmond,VA,804-918-6158,gardengrovebrewing.com,,,,37.554867,-77.485924
Central Virginia,Glass House Winery,5898 Free Union Rd.,Free Union,VA,434-975-0094,glasshousewinery.com,,,,38.200762,-78.578681
Central Virginia,Grace Estate Winery,5273 Mount Juliet Rd.,Crozet,VA,434-823-1486,graceestatewinery.com,,,,38.117796,-78.684255
Central Virginia,Grayhaven Winery,4675 E. Grey Fox Cir.,Gum Spring,VA,804-556-3917,grayhavenwinery.com,,,,37.8060126,-77.90729057
Central Virginia,Haley's Honey Meadery,235 E. Broadway,Hopewell,VA,804-668-5943,haleyshoneymeadery.com,,,,37.3047078,-77.2855384
Central Virginia,Hardware Hills Vineyard,5199 W. River Rd.,Scottsville,VA,434-286-4710,hardwarehills.com,,,,37.789232,-78.405581
Central Virginia,Hark Vineyards,1465 Davis Shop Rd.,Earlysville,VA,434-964-9463,harkvineyards.com,,,,38.213279,-78.549187
Central Virginia,Haunted Vineyards,25231 Selma Rd.,Jetersville,VA,804-250-1421,hauntedvineyards.com,,,,37.29803,-78.165068
Central Virginia,Hazy Mountain Vineyards & Brewery,240 Hazy Mountain Ln.,Afton,VA,540-302-2529,hazy-mountain.com,,,,38.019703,-78.807599
Central Virginia,Henley's Orchard Estate Cidery,2192 Holly Hill Farm,Crozet,VA,434-823-7848,henleysorchard.com,,,,38.096,-78.693306
Central Virginia,Hill Top Berry Farm Winery & Meadery,2800 Berry Hill Rd.,Nellysford,VA,434-361-1266,hilltopberrywine.com,,,,37.900799,-78.846206
Central Virginia,Honah Lee Vineyard,13443 Honah Lee Farm Dr.,Gordonsville,VA,540-308-7724,honahleevineyard.com,,,,38.184756,-78.144821
Central Virginia,Horton Vineyards,6399 Spotswood Tr.,Gordonsville,VA,540-832-7440,hortonwine.com,,,,38.16685,-78.260809
Central Virginia,James River Cellars,11008 Washington Hwy.,Glen Allen,VA,804-550-7516,jamesrivercellars.com,,,,37.700876,-77.461578
Central Virginia,Jefferson Vineyards,1353 Thomas Jefferson Pkwy.,Charlottesville,VA,434-977-3042,jeffersonvineyards.com,,,,37.990052,-78.443646
Central Virginia,Keswick Vineyards,1575 Keswick Winery Dr.,Keswick,VA,434-244-3341,keswickvineyards.com,,,,38.074492,-78.289305
Central Virginia,King Family Vineyards,6550 Roseland Farm,Crozet,VA,434-823-7800,kingfamilyvineyards.com,,,,38.0623934,-78.7284272
Central Virginia,Knight's Gambit Vineyard,218 Knole Farm Ln.,Charlottesville,VA,434-260-9424,knightsgambitvineyard.com,,,,38.093296,-78.621343
Central Virginia,Lazy Days Winery,1351 N. Amherst Hwy.,Amherst,VA,434-381-6088,lazydayswinery.com,,,,37.6187786,-79.0204769
Central Virginia,Loving Cup Vineyard & Winery,3340 Sutherland Rd.,North Garden,VA,434-984-0774,lovingcupwine.com,,,,37.951574,-78.686378
Central Virginia,Lovingston Winery,885 Freshwater Cove Ln.,Lovingston,VA,434-263-8467,lovingstonwinery.com,,,,37.728445,-78.913473
Central Virginia,Merrie Mill Farm & Vineyard,594 Merrie Mill Farm,Keswick,VA,434-365-3006,merriemillfarm.com,,,,38.050871,-78.293065
Central Virginia,Michael Shaps Wineworks,1650 Harris Creek Rd.,Charlottesville,VA,434-296-3438,michaelshapswines.com,,,,38.029306,-78.4766781
Central Virginia,Montifalco Vineyard,1800 Fray Rd.,Ruckersville,VA,434-989-9115,montifalcovineyard.com,,,,38.1946216,-78.4367739
Central Virginia,Moss Vineyards,1849 Simmons Gap Rd.,Dyke,VA,434-990-0111,mossvineyards.net,,,,38.237512,-78.554351
Central Virginia,Mount Alto Vineyards,10436 Howardsville Tpke.,Esmont,VA,804-476-0883,mountaltovineyards.com,,,,37.826817,-78.597861
Central Virginia,Mount Fair Vineyard,4575 Slam Gate Rd.,Crozet,VA,646-453-7600,mountfairvineyard.com,,,,38.161998,-78.676901
Central Virginia,Mountain & Vine Vineyards and Winery,500 Delfosse Winery Ln.,Faber,VA,434-263-6100,delfossewine.com,,,,37.8315231,-78.7371019
Central Virginia,Muddy Paws Winery,2640 Rock Island Rd.,Scottsville,VA,410-365-4175,muddypawswinery.com,,,,37.738886,-78.539583
Central Virginia,Oakencroft Farm & Winery,1455 Oakencroft Cir.,Charlottesville,VA,434-234-7066,oakencroftfarm.com,,,,38.084456,-78.551594
Central Virginia,Pippin Hill Farm & Vineyards,5022 Plank Rd.,North Garden,VA,434-202-8063,pippinhillfarm.com,,,,37.96198655,-78.65838666
Central Virginia,Pollak Vineyards,330 Newtown Rd.,Greenwood,VA,540-456-8844,pollakvineyards.com,,,,38.034566,-78.794361
Central Virginia,Potter's Craft Cider,1350 Arrowhead Valley Rd.,Charlottesville,VA,434-244-2767,potterscraftcider.com,,,,37.99866585,-78.57990471
Central Virginia,Prince Michel Vineyard,154 Winery Ln.,Leon,VA,800-800-9463,princemichel.com,,,,38.4362,-78.154291
Central Virginia,Rassawek Winery,6276 River Road West,Columbia,VA,804-389-1164,rassawek.com,,,,34.005042,-81.087214
Central Virginia,Rebec Vineyards,2229 N. Amherst Hwy.,Amherst,VA,434-946-5168,rebecwinery.com,,,,37.6412792,-78.9856402
Central Virginia,Reserve: Tasting Room & Lounge,1101 Jefferson St. Ste. 100,Lynchburg,VA,434-316-2752,reservelbc.com,,,,37.41398735,-79.13914925
Central Virginia,Revalation Vineyards,2710 Hebron Valley Rd.,Madison,VA,540-407-1236,revalationvineyards.com,,,,38.437085832665716,-78.23635896
Central Virginia,Reynard Florence Vineyard,16109 Burnley Rd.,Barboursville,VA,540-832-3895,reynardflorence.com,,,,38.185407,-78.337244
Central Virginia,River Dog Winery,7959 Bradbury Rd.,Henrico,VA,804-385-3770,riverdogwinery.com,,,,37.6294756,-77.5189032
Central Virginia,Septenary The Winery at Seven Oaks Farm,200 Seven Oaks Farm,Greenwood,VA,434-996-6292,septenarywinery.com,,,,38.041286,-78.747596
Central Virginia,Skippers Creek Vineyard,965 Rocky Ford Rd.,Powhatan,VA,804-598-7291,skipperscreekvineyard.com,,,,37.4706654,-77.8836617
Central Virginia,South Paddock Winery,6672 Blenheim Rd.,Scottsville,VA,202-251-5291,whitehallfarmandvineyard.com/winery,,,,37.850431,-78.505945
Central Virginia,Southern Revere Cellars,1100 E. Jack Jouett Rd.,Louisa,VA,540-260-5494,southernrevere.com,,,,37.966068,-78.100706
Central Virginia,Southwest Mountains Vineyards,2300 Whipper In Ln.,Keswick,VA,434-212-3244,smvwines.com,,,,38.064443,-78.331121
Central Virginia,Stinson Vineyards,4744 Sugar Hollow Rd.,Crozet,VA,434-823-7300,stinsonvineyards.com,,,,38.1195835,-78.6645847
Central Virginia,Stone Mountain Vineyards,1376 Wyatt Mountain Rd.,Dyke,VA,434-990-9463,stonemountainvineyards.com,,,,38.278664,-78.585374
Central Virginia,Sweet Briar College Farm,134 Chapel Rd.,Sweet Briar,VA,434-381-0409,sbc.edu/farm,,,,38.135079700000006,-79.06252903
Central Virginia,Sweet Vines Farm Winery,14376 Tower Rd.,Unionville,VA,703-942-9336,thevines.farm,,,,38.205488,-77.915213
Central Virginia,Tasting Room & Taphouse at Mount Ida Reserve,5931 Blenheim Rd.,Charlottesville,VA,434-286-4282,mountidareserve.com,,,,38.029306,-78.4766781
Central Virginia,Trump Winery,385 Albemarle House Dr.,Charlottesville,VA,434-266-9909,trumpwinery.com,,,,37.951083,-78.50787
Central Virginia,Valley Road Vineyards,9264 Critzers Shop Rd. (Rt. 151),Afton,VA,540-456-6350,valleyroadwines.com,,,,38.020964,-78.822218
Central Virginia,Veritas Vineyard & Winery,151 Veritas Ln.,Afton,VA,540-456-8000,veritaswines.com,,,,38.015526,-78.836473
Central Virginia,White Hall Vineyards,5282 Sugar Ridge Rd.,Crozet,VA,434-823-8615,whitehallvineyards.com,,,,38.1348384,-78.6842185
Central Virginia,Wisdom Oak Winery,3613 Walnut Branch Ln.,North Garden,VA,434-984-4272,wisdomoakwinery.com,,,,37.93873,-78.613355
Central Virginia,Woodbrook Farm Vineyard,11461 Spicers Mill Rd.,Orange,VA,540-219-1874,woodbrookfarmvineyard.com,,,,38.24474873,-78.17131439
Blue Ridge,Abingdon Vineyards,20530 Alvarado Rd.,Abingdon,VA,276-623-1255,abingdonvineyards.com,,,,36.6582483,-81.8889817
Blue Ridge,Beliveau Farm Winery,3899 Eakin Farm Rd.,Blacksburg,VA,540-961-0505,beliveauwinery.com,,,,37.312071,-80.278918
Blue Ridge,Chateau Morrisette Winery,291 Winery Rd. SW,Floyd,VA,540-593-2865,thedogs.com,,,,36.793805,-80.39387
Blue Ridge,Davis Valley Winery & Distillery,1167 Davis Valley Rd.,Rural Retreat,VA,276-686-8855,davisvalleywinery.com,,,,36.902861,-81.360307
Blue Ridge,Iron Heart Winery,3742 Boone Furnace Rd.,Allisonia,VA,540-320-0203,ironheartwinery.com,,,,36.920731,-80.769154
Blue Ridge,JBR Vineyards & Winery,1360 Springdale Rd.,Pearisburg,VA,540-250-7291,jbrvineyards.com,,,,37.224891,-80.698986
Blue Ridge,Nicewonder Farms & Vineyard,22091 Nicewonder Dr.,Bristol,VA,276-299-3260,nicewonderfarm.com,,,,36.628856,-82.092365
Blue Ridge,Spinning Jenny Vineyard,2664 Old Route 100 Rd.,Draper,VA,540-922-9829,spinningjennyvineyard.com,,,,37.007394293440505,-80.74429808
Blue Ridge,Squabble State Hard Cider & Spirits,7300 Brownlow Dr.,Bristol,VA,276-294-2196,squabblestate.com,,,,36.61389,-82.22645
Blue Ridge,The New River Vineyard & Winery,6750 Falling Branch Rd.,Fairlawn,VA,540-633-0033,nrvwine.com,,,,37.1226954,-80.6074956
Blue Ridge,Tumbling Creek Cider Company,238 W. Main St.,Abingdon,VA,276-451-5901,tumblingcreekcider.com,,,,36.7089555,-81.9783968
Blue Ridge,Villa Appalaccia,752 Rock Castle Gorge Rd.,Floyd,VA,540-593-3100,villaappalaccia.com,,,,36.817324258954905,-80.34389119
Blue Ridge,West Wind Farm Vineyard and Winery,180 West Wind Dr.,Max Meadows,VA,276-699-2020,westwindwine.com,,,,36.902268,-80.909614
Virginia Mountains,Big Fish Cider Co.,59 Spruce St.,Monterey,VA,540-468-2322,bigfishcider.com,,,,38.4122225,-79.5829143
Virginia Mountains,Brooks Mill Winery,6221 Brooks Mill Rd.,Wirtz,VA,540-721-5215,brooksmillwine.com,,,,37.06533,-79.75481
Virginia Mountains,Burnbrae Vineyards,3524 Cottontown Rd.,Forest,VA,336-339-5634,burnbraevineyards.com,,,,37.3971009,-79.2749495
Virginia Mountains,Fables & Feathers Winery,2117 Bruno Dr.,Goodview,VA,540-420-0916,fablesandfeatherswinery.com,,,,37.231707,-79.708141
Virginia Mountains,Graham Ordinary Lodge and Meadery,8578 Peaks Rd.,Bedford,VA,540-986-5621,grahamordinary.com,,,,37.4337073,-79.5798948
Virginia Mountains,Hickory Hill Vineyards,1722 Hickory Cove Ln.,Moneta,VA,540-296-1393,SMLwine.com,,,,37.1294993,-79.6300052
Virginia Mountains,Peaks of Otter Winery & Orchards,1218 Elmos Rd.,Bedford,VA,540-586-3707,peaksofotterwinery.com,,,,37.3980235,-79.6248968
Virginia Mountains,Ramulose Ridge Vineyards,3061 Hendricks Store Rd.,Moneta,VA,540-797-6056,ramuloseridgevineyards.com,,,,37.1360834,-79.6292852
Virginia Mountains,Seven Doors Winery,5800 Johnson Mountain Rd.,Huddleston,VA,540-605-8745,sevendoorswinery.com,,,,37.185159,-79.387233
Virginia Mountains,Stoney Brook Vineyards & Winery,516 Stoney Battery Rd.,Troutville,VA,540-591-7089,stoneybrookvineyards.com,,,,37.414565153061226,-79.86723941
Virginia Mountains,Troddenvale at Oakley Farm,170 Oakley Farm Ln.,Warm Springs,VA,,troddenvale.com,,,,38.0431573,-79.7898265
Virginia Mountains,Valhalla Vineyards,6500 Mt. Chestnut Rd.,Roanoke,VA,540-725-9463,valhallawines.com,,,,37.2242299,-80.0547425
Virginia Mountains,Virginia Mountain Vineyards,4204 Old Fincastle Rd.,Fincastle,VA,540-473-2979,vmvines.com,,,,37.5698409,-79.8812581
Southern Virginia,2 Witches Winery & Brewing Co.,209 Trade St.,Danville,VA,434-549-2739,2witcheswinebrew.com,,,,36.58590348544224,-79.42125553
Southern Virginia,Altillo Vineyards,620 Level Run Rd.,Hurt,VA,434-324-4160,altillovineyards.com,,,,37.0648125,-79.24445704
Southern Virginia,American Way Country Wines,13750 Hwy. 47,Chase City,VA,434-262-1250,americanwaycountrywines.com,,,,36.7993418,-78.4585771
Southern Virginia,Bright Meadows Farm,1181 Nathalie Rd.,Nathalie,VA,434-349-9463,brightmeadowsfarm.com,,,,36.932911,-78.949448
Southern Virginia,Hamlet Vineyards,405 Riverside Dr.,Bassett,VA,276-629-2121,hamletvineyards.com,,,,36.735099,-79.962893
Southern Virginia,Hunting Creek Vineyards,2000 Addie Williams Tr.,Clover,VA,434-454-9219,hcvwines.com,,,,36.8326402,-78.7333385
Southern Virginia,Rosemont Vineyards,1050 Blackridge Rd.,La Crosse,VA,434-636-9463,rosemontofvirginia.com,,,,36.591661,-78.065791
Southern Virginia,The Homeplace Vineyard,568 Rigney Cir.,Chatham,VA,434-432-9463,thehomeplacevineyard.com,,,,36.86776,-79.473514
Southern Virginia,Three Sisters of Shiney Rock,5484 Shiney Rock Rd.,Clarksville,VA,434-298-6693,threesistersofshineyrock.com,,,,36.551863,-78.59956
Southern Virginia,Woodbine Vineyards,1142 Hite Dr.,Buffalo Junction,VA,434-222-1459,woodbinevineyardsandwinery.com,,,,36.6048497,-78.6304968
Shenandoah Valley,12 Ridges Vineyard,24981 Blue Ridge Parkway,Vesuvius,VA,434-996-4252,12ridges.com,,,,37.896244,-79.121436
Shenandoah Valley,Above Ground Winery,975 McKinley Rd.,Middlebrook,VA,540-430-4394,agwinery.com,,,,38.042652,-79.298762
Shenandoah Valley,Barren Ridge Vineyards,984 Barren Ridge Rd.,Fishersville,VA,540-248-3300,barrenridgevineyards.com,,,,38.133606900000004,-78.95602617
Shenandoah Valley,Blue Ridge Vineyard,1027 Shiloh Dr.,Eagle Rock,VA,540-798-7642,blueridgevineyard.com,,,,37.6406864,-79.8011563
Shenandoah Valley,Bluestone Vineyard,4828 Spring Creek Rd.,Bridgewater,VA,540-828-0099,bluestonevineyard.com,,,,38.387521,-79.009498
Shenandoah Valley,Briedé Family Vineyards,450 Green Spring Rd.,Winchester,VA,540-664-2048,briedevineyards.com,,,,39.298409,-78.154352
Shenandoah Valley,Brix and Columns Vineyards,1501 Dave Berry Rd.,McGaheysville,VA,540-810-0566,brixandcolumns.com,,,,38.3694974,-78.696842
Shenandoah Valley,Cave Ridge Vineyard,1476 Conicville Rd.,Mt. Jackson,VA,540-477-2585,caveridge.com,,,,38.814569,-78.669093
Shenandoah Valley,Ciders From Mars,121 S. Lewis St.,Staunton,VA,540-416-2120,cidersfrommars.com,,,,38.1474839,-79.074228
Shenandoah Valley,Common Wealth Crush Co.,1010 E. Main St. Ste. 110,Waynesboro,VA,,commonwealthcrush.com,,,,38.06475789795919,-78.87479612
Shenandoah Valley,CrossKeys Vineyards,6011 E. Timber Ridge Rd.,Mt. Crawford,VA,540-234-0505,crosskeysvineyards.com,,,,38.32282,-78.85085
Shenandoah Valley,Ecco Adesso Vineyards,340 Ecco Adesso Ln.,Fairfield,VA,540-817-0419,eccoadesso.com,,,,37.835917,-79.307848
Shenandoah Valley,Glen Manor Vineyards,2244 Browntown Rd.,Front Royal,VA,540-635-6324,glenmanorvineyards.com,,,,38.9179069,-78.1918077
Shenandoah Valley,Great Valley Farm Brewery & Winery,60 Great Valley Ln.,Natural Bridge,VA,540-521-6163,greatvalleyfarmbrewery.com,,,,37.680196,-79.513085
Shenandoah Valley,Halcyon Days Cider Co.,4135 S. Lee Hwy.,Natural Bridge,VA,540-291-1340,halcyondayscider.com,,,,37.681351,-79.496563
Shenandoah Valley,Hermitage Hill Cider at Stable Craft Brewing,375 Madrid Rd.,Waynesboro,VA,540-490-2609,stablecraftbrewing.com,,,,38.1601126,-78.9061107
Shenandoah Valley,Honey & Hops Brew Works,212 E. Main St.,Front Royal,VA,540-692-6032,honeyandhopsbrewworks.com,,,,38.917855450000005,-78.19109815
Shenandoah Valley,James Charles Winery & Vineyard,4063 Middle Rd.,Winchester,VA,540-931-4386,jamescharleswine.com,,,,39.125869,-78.230607
Shenandoah Valley,Jump Mountain Vineyard,1493 Walkers Creek Rd.,Rockbridge Baths,VA,540-348-6730,jumpwines.com,,,,37.9345498,-79.3851094
Shenandoah Valley,Lexington Valley Vineyard,80 Norton Way,Rockbridge Baths,VA,540-462-2974,lexingtonvalleyvineyard.com,,,,37.898921,-79.4068338
Shenandoah Valley,Lightwell Survey Wines,200 W. 12th St. Unit D53,Waynesboro,VA,,lightwellsurvey.com,,,,38.062108,-78.888525
Shenandoah Valley,Marceline Vineyards,5887 Cross Keys Rd.,Mt. Crawford,VA,540-212-9798,marcelinevineyards.com,,,,38.323392,-78.868727
Shenandoah Valley,Misty Mountain Meadworks,661 Warm Springs Rd.,Winchester,VA,540-336-2273,mistymountainmead.com,,,,39.290026,-78.163319
Shenandoah Valley,Muse Vineyards,16 Serendipity Ln.,Woodstock,VA,540-459-7033,musevineyards.com,,,,38.857373,-78.50143
